ubicacion_key,cod_distrito,distrito,localizacion,tipo_via,via,numero,cp
16746,13.0,PUENTE DE VALLECAS,AVDA. PABLO NERUDA / CALL. SAN CLAUDIO,,,12,
16747,10.0,LATINA,"CALL. CARAMUEL, 47",,,47,
16748,13.0,PUENTE DE VALLECAS,"AVDA. ENTREVIAS, 52",,,52,
16749,9.0,MONCLOA-ARAVACA,"AUTOV. A-6 / Autovia A-6 Pk 6,700",,,+00600E,
16750,13.0,PUENTE DE VALLECAS,CALL. MANUEL LAGUNA / TRVA. DOCTOR SANCHEZ,,,15,
16751,6.0,TETUÁN,CALL. MARQUES DE VIANA / CALL. HIERBABUENA,,,16,
16752,4.0,SALAMANCA,"CALL. DIEGO DE LEON, 55",,,55,
16753,7.0,CHAMBERÍ,"CALL. CEA BERMUDEZ, 59",,,59,
16754,10.0,LATINA,"CALL. LOS YEBENES, 78",,,78,
16755,10.0,LATINA,CALL. ANTONIO GISTAU / CALL. SAN BENIGNO,,,11,
16756,15.0,CIUDAD LINEAL,CALLE ALCALA 358,,,358,
16757,20.0,SAN BLAS-CANILLEJAS,AVDA. GUADALAJARA / CALL. REPUBLICA CHECA,,,22,
16758,16.0,HORTALEZA,AVDA. NICETO ALCALA ZAMORA / CALL. ALBERTO DE PALACIO,,,10,
16759,2.0,ARGANZUELA,PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. NOGALES,,,25,
16760,4.0,SALAMANCA,"CALL. JOSE ORTEGA Y GASSET, 75",,,75,
16761,1.0,CENTRO,"CALL. TOLEDO, 104",,,104,
16762,3.0,RETIRO,"CALL. JUAN DE MENA, 25",,,25,
16763,19.0,VICÁLVARO,CALL. CORDEL DE PAVONES / CALL. TREN DE ARGANDA,,,2,
16764,2.0,ARGANZUELA,PLAZA. EMPERADOR CARLOS V / RONDA. ATOCHA,,,5,
16765,11.0,CARABANCHEL,"CALL. CASTRO DE ORO, 31",,,31,
16766,4.0,SALAMANCA,CALL. ALCALA / PLAZA. MANUEL BECERRA,,,195,
16767,4.0,SALAMANCA,CALL. PRINCIPE DE VERGARA / CALL. ALCALA,,,1,
16768,12.0,USERA,CALL. RAMON LUJAN / CALL. MARCELO USERA,,,24,
16769,7.0,CHAMBERÍ,"CALL. ALBERTO AGUILERA, 38",,,38,
16770,8.0,FUENCARRAL-EL PARDO,"AUTOV. M-30, 30XC90",,,30XC90,
16771,3.0,RETIRO,"AUTOV. M-30, 08NL79",,,08NL79,
16772,7.0,CHAMBERÍ,"PASEO. CASTELLANA, 3",,,3,
16773,17.0,VILLAVERDE,PASEO. TALLERES / CALL. SAN JENARO,,,3,
16774,11.0,CARABANCHEL,AVDA. POBLADOS / CALL. SECOYA,,,100,
16775,15.0,CIUDAD LINEAL,AVDA. DAROCA / AVDA. TRECE ROSAS,,,91,
16776,20.0,SAN BLAS-CANILLEJAS,CALL. AQUITANIA / CALL. CAPRI,,,11,
16777,21.0,BARAJAS,CALL. VIA DE DUBLIN / CALL. ARIADNA,,,1,
16778,7.0,CHAMBERÍ,"CALL. ARCIPRESTE DE HITA, 12",,,12,
16779,13.0,PUENTE DE VALLECAS,CALL. JOSE PAULETE / CALL. BOADA,,,39,
16780,4.0,SALAMANCA,"CALL. CLAUDIO COELLO, 81",,,81,
16781,5.0,CHAMARTÍN,"CALL. ENRIQUE LARRETA, 4",,,4,
16782,19.0,VICÁLVARO,CALL. MARMOLINA / AVDA. AURORA BOREAL,,,18,
16783,20.0,SAN BLAS-CANILLEJAS,CALL. ALCALA / CALL. ALCALA,,,662,
16784,16.0,HORTALEZA,"CALL. SILVANO, 186",,,186,
16785,6.0,TETUÁN,"CALL. POETA JOAN MARAGALL, 48",,,48,
16786,12.0,USERA,"CALL. GUETARIA, 1",,,1,
16787,21.0,BARAJAS,"AVDA. CAPITAL DE ESPAÑA MADRID, 1",,,1,
