route_key,linea_id,linea_nombre
392,183,Madrid (Plaza de Castilla) - Cobeña - Algete
393,183,Madrid (Plaza de Castilla) - Cobeña - Algete
394,183,Madrid (Plaza de Castilla) - Cobeña - Algete
395,183,Madrid (Plaza de Castilla) - Cobeña - Algete
396,183,Madrid (Plaza de Castilla) - Cobeña - Algete
397,184,Madrid (Plaza de Castilla) - El Casar
398,184,Madrid (Plaza de Castilla) - El Casar
399,184,Madrid (Plaza de Castilla) - El Casar
400,184,Madrid (Plaza de Castilla) - El Casar
401,184,Madrid (Plaza de Castilla) - El Casar
402,184,Madrid (Plaza de Castilla) - El Casar
403,184,Madrid (Plaza de Castilla) - El Casar
404,184,Madrid (Plaza de Castilla) - El Casar
405,184,Madrid (Plaza de Castilla) - El Casar
406,184,Madrid (Plaza de Castilla) - El Casar
407,184,Madrid (Plaza de Castilla) - El Casar
408,184,Madrid (Plaza de Castilla) - El Casar
409,184,Madrid (Plaza de Castilla) - El Casar
410,184,Madrid (Plaza de Castilla) - El Casar
411,184,Madrid (Plaza de Castilla) - El Casar
412,184,Madrid (Plaza de Castilla) - El Casar
413,184,Madrid (Plaza de Castilla) - El Casar
414,184,Madrid (Plaza de Castilla) - El Casar
415,184,Madrid (Plaza de Castilla) - El Casar
416,184,Madrid (Plaza de Castilla) - El Casar
417,184,Madrid (Plaza de Castilla) - El Casar
418,184,Madrid (Plaza de Castilla) - El Casar
419,184,Madrid (Plaza de Castilla) - El Casar
420,184,Madrid (Plaza de Castilla) - El Casar
421,184,Madrid (Plaza de Castilla) - El Casar
422,184,Madrid (Plaza de Castilla) - El Casar
423,185,Madrid (Plaza de Castilla) - Nuevo Algete
424,185,Madrid (Plaza de Castilla) - Nuevo Algete
425,185,Madrid (Plaza de Castilla) - Nuevo Algete
426,185,Madrid (Plaza de Castilla) - Nuevo Algete
427,185,Madrid (Plaza de Castilla) - Nuevo Algete
428,185,Madrid (Plaza de Castilla) - Nuevo Algete
429,185,Madrid (Plaza de Castilla) - Nuevo Algete
430,185,Madrid (Plaza de Castilla) - Nuevo Algete
431,185,Madrid (Plaza de Castilla) - Nuevo Algete
432,185,Madrid (Plaza de Castilla) - Nuevo Algete
433,185,Madrid (Plaza de Castilla) - Nuevo Algete
434,185,Madrid (Plaza de Castilla) - Nuevo Algete
435,185,Madrid (Plaza de Castilla) - Nuevo Algete
436,185,Madrid (Plaza de Castilla) - Nuevo Algete
437,185,Madrid (Plaza de Castilla) - Nuevo Algete
438,185,Madrid (Plaza de Castilla) - Nuevo Algete
439,185,Madrid (Plaza de Castilla) - Nuevo Algete
440,185,Madrid (Plaza de Castilla) - Nuevo Algete
441,185,Madrid (Plaza de Castilla) - Nuevo Algete
442,191,Madrid (Plaza de Castilla) - Buitrago
443,191,Madrid (Plaza de Castilla) - Buitrago
444,191,Madrid (Plaza de Castilla) - Buitrago
445,191,Madrid (Plaza de Castilla) - Buitrago
446,191,Madrid (Plaza de Castilla) - Buitrago
447,191,Madrid (Plaza de Castilla) - Buitrago
448,191,Madrid (Plaza de Castilla) - Buitrago
449,191,Madrid (Plaza de Castilla) - Buitrago
450,191,Madrid (Plaza de Castilla) - Buitrago
451,191,Madrid (Plaza de Castilla) - Buitrago
452,191,Madrid (Plaza de Castilla) - Buitrago
453,191,Madrid (Plaza de Castilla) - Buitrago
454,191,Madrid (Plaza de Castilla) - Buitrago
455,191,Madrid (Plaza de Castilla) - Buitrago
456,191,Madrid (Plaza de Castilla) - Buitrago
457,191,Madrid (Plaza de Castilla) - Buitrago
458,191,Madrid (Plaza de Castilla) - Buitrago
459,191,Madrid (Plaza de Castilla) - Buitrago
460,191,Madrid (Plaza de Castilla) - Buitrago
461,191,Madrid (Plaza de Castilla) - Buitrago
462,191,Madrid (Plaza de Castilla) - Buitrago
463,191,Madrid (Plaza de Castilla) - Buitrago
464,191,Madrid (Plaza de Castilla) - Buitrago
465,191,Madrid (Plaza de Castilla) - Buitrago
466,191,Madrid (Plaza de Castilla) - Buitrago
467,191,Madrid (Plaza de Castilla) - Buitrago
468,191,Madrid (Plaza de Castilla) - Buitrago
469,191,Madrid (Plaza de Castilla) - Buitrago
470,191,Madrid (Plaza de Castilla) - Buitrago
471,191,Madrid (Plaza de Castilla) - Buitrago
472,191,Madrid (Plaza de Castilla) - Buitrago
473,191,Madrid (Plaza de Castilla) - Buitrago
474,191,Madrid (Plaza de Castilla) - Buitrago
475,191,Madrid (Plaza de Castilla) - Buitrago
476,191,Madrid (Plaza de Castilla) - Buitrago
477,191,Madrid (Plaza de Castilla) - Buitrago
478,191,Madrid (Plaza de Castilla) - Buitrago
479,191,Madrid (Plaza de Castilla) - Buitrago
480,191,Madrid (Plaza de Castilla) - Buitrago
481,191,Madrid (Plaza de Castilla) - Buitrago
482,191A,Buitrago - Braojos
483,191A,Buitrago - Braojos
484,191A,Buitrago - Braojos
485,191A,Buitrago - Braojos
486,191A,Buitrago - Braojos
487,191A,Buitrago - Braojos
488,191A,Buitrago - Braojos
489,191B,Buitrago - Somosierra
490,191B,Buitrago - Somosierra
491,191B,Buitrago - Somosierra
492,191B,Buitrago - Somosierra
493,191B,Buitrago - Somosierra
494,191B,Buitrago - Somosierra
495,191B,Buitrago - Somosierra
496,191B,Buitrago - Somosierra
497,191B,Buitrago - Somosierra
498,191B,Buitrago - Somosierra
499,191B,Buitrago - Somosierra
500,191B,Buitrago - Somosierra
